eval,time_s,cur,best,M1,M2,M3
240,2.0491013526916504,0.0,0.0,0.0,0.0,0.0
245,2.0592544078826904,0.0,0.0,0.0,0.0,0.0
250,2.0592567920684814,0.0,0.0,0.0,0.0,0.0
255,2.059258222579956,0.0,0.0,0.0,0.0,0.0
260,2.0691399574279785,0.0,0.0,0.0,0.0,0.0
265,2.0691423416137695,0.0,0.0,0.0,0.0,0.0
270,2.0691442489624023,0.0,0.0,0.0,0.0,0.0
275,2.078688383102417,0.0,0.0,0.0,0.0,0.0
280,2.078690767288208,0.0,0.0,0.0,0.0,0.0
285,2.078692674636841,0.0,0.0,0.0,0.0,0.0
290,2.0891425609588623,0.0,0.0,0.0,0.0,0.0
295,2.0891449451446533,0.0,0.0,0.0,0.0,0.0
300,2.0891470909118652,0.0,0.0,0.0,0.0,0.0
305,2.08914852142334,0.0,0.0,0.0,0.0,0.0
310,2.100940704345703,0.0,0.0,0.0,0.0,0.0
315,2.100943088531494,0.0,0.0,0.0,0.0,0.0
320,2.100944757461548,0.0,0.0,0.0,0.0,0.0
325,2.111292600631714,0.0,0.0,0.0,0.0,0.0
330,2.111294984817505,0.0,0.0,0.0,0.0,0.0
335,2.1112966537475586,0.0,0.0,0.0,0.0,0.0
340,2.121757984161377,0.0,0.0,0.0,0.0,0.0
345,2.121760368347168,0.0,0.0,0.0,0.0,0.0
350,2.121762275695801,0.0,0.0,0.0,0.0,0.0
355,2.1321094036102295,0.0,0.0,0.0,0.0,0.0
360,2.1321122646331787,0.0,0.0,0.0,0.0,0.0
365,2.1321141719818115,0.0,0.0,0.0,0.0,0.0
370,2.1425318717956543,0.0,0.0,0.0,0.0,0.0
375,2.1425344944000244,0.0,0.0,0.0,0.0,0.0
380,2.1425364017486572,0.0,0.0,0.0,0.0,0.0
385,2.1425390243530273,0.0,0.0,0.0,0.0,0.0
390,2.1529541015625,0.0,0.0,0.0,0.0,0.0
395,2.152956008911133,0.0,0.0,0.0,0.0,0.0
400,2.1529579162597656,0.0,0.0,0.0,0.0,0.0
405,2.164306879043579,0.0,0.0,0.0,0.0,0.0
410,2.16430926322937,0.0,0.0,0.0,0.0,0.0
415,2.164310932159424,0.0,0.0,0.0,0.0,0.0
420,2.1748123168945312,0.0,0.0,0.0,0.0,0.0
425,2.1748149394989014,0.0,0.0,0.0,0.0,0.0
430,2.174816608428955,0.0,0.0,0.0,0.0,0.0
435,2.1863701343536377,0.0,0.0,0.0,0.0,0.0
440,2.186372756958008,0.0,0.0,0.0,0.0,0.0
445,2.1863746643066406,0.0,0.0,0.0,0.0,0.0
450,2.1968555450439453,0.0,0.0,0.0,0.0,0.0
455,2.196871519088745,0.0,0.0,0.0,0.0,0.0
460,2.196873664855957,0.0,0.0,0.0,0.0,0.0
465,2.1968765258789062,0.0,0.0,0.0,0.0,0.0
470,2.207415819168091,0.0,0.0,0.0,0.0,0.0
475,2.2074179649353027,0.0,0.0,0.0,0.0,0.0
480,2.2074198722839355,0.0,0.0,0.0,0.0,0.0
485,2.2171401977539062,0.0,0.0,0.0,0.0,0.0
490,2.217142343521118,0.0,0.0,0.0,0.0,0.0
495,2.217144250869751,0.0,0.0,0.0,0.0,0.0
500,2.227515459060669,0.0,0.0,0.0,0.0,0.0
505,2.22751784324646,0.0,0.0,0.0,0.0,0.0
510,2.2275195121765137,0.0,0.0,0.0,0.0,0.0
515,2.23799204826355,0.0,0.0,0.0,0.0,0.0
520,2.23799467086792,0.0,0.0,0.0,0.0,0.0
525,2.2379965782165527,0.0,0.0,0.0,0.0,0.0
530,2.2484724521636963,0.0,0.0,0.0,0.0,0.0
535,2.2484750747680664,0.0,0.0,0.0,0.0,0.0
540,2.24847674369812,0.0,0.0,0.0,0.0,0.0
545,2.248483657836914,0.0,0.0,0.0,0.0,0.0
550,2.2581889629364014,0.0,0.0,0.0,0.0,0.0
555,2.2581911087036133,0.0,0.0,0.0,0.0,0.0
560,2.258192777633667,0.0,0.0,0.0,0.0,0.0
565,2.268500804901123,0.0,0.0,0.0,0.0,0.0
570,2.268503189086914,0.0,0.0,0.0,0.0,0.0
575,2.268505096435547,0.0,0.0,0.0,0.0,0.0
580,2.2788474559783936,0.0,0.0,0.0,0.0,0.0
585,2.2788496017456055,0.0,0.0,0.0,0.0,0.0
590,2.2788515090942383,0.0,0.0,0.0,0.0,0.0
595,2.289255142211914,0.0,0.0,0.0,0.0,0.0
600,2.289257764816284,0.0,0.0,0.0,0.0,0.0
605,2.289259433746338,0.0,0.0,0.0,0.0,0.0
610,2.2989118099212646,0.0,0.0,0.0,0.0,0.0
615,2.2989144325256348,0.0,0.0,0.0,0.0,0.0
620,2.2989163398742676,0.0,0.0,0.0,0.0,0.0
625,2.2989180088043213,0.0,0.0,0.0,0.0,0.0
630,2.3109331130981445,0.0,0.0,0.0,0.0,0.0
635,2.3109352588653564,0.0,0.0,0.0,0.0,0.0
640,2.31093692779541,0.0,0.0,0.0,0.0,0.0
645,2.321230173110962,0.0,0.0,0.0,0.0,0.0
650,2.321232557296753,0.0,0.0,0.0,0.0,0.0
655,2.3212344646453857,0.0,0.0,0.0,0.0,0.0
660,2.3307626247406006,0.0,0.0,0.0,0.0,0.0
665,2.3307650089263916,0.0,0.0,0.0,0.0,0.0
670,2.3307666778564453,0.0,0.0,0.0,0.0,0.0
675,2.3413631916046143,0.0,0.0,0.0,0.0,0.0
680,2.3413655757904053,0.0,0.0,0.0,0.0,0.0
685,2.341367721557617,0.0,0.0,0.0,0.0,0.0
690,2.3515708446502686,0.0,0.0,0.0,0.0,0.0
695,2.3515737056732178,0.0,0.0,0.0,0.0,0.0
700,2.3515753746032715,0.0,0.0,0.0,0.0,0.0
705,2.351577043533325,0.0,0.0,0.0,0.0,0.0
710,2.3614392280578613,0.0,0.0,0.0,0.0,0.0
715,2.3614413738250732,0.0,0.0,0.0,0.0,0.0
720,2.361443281173706,0.0,0.0,0.0,0.0,0.0
725,2.371821403503418,0.0,0.0,0.0,0.0,0.0
730,2.371824026107788,0.0,0.0,0.0,0.0,0.0
735,2.371825933456421,0.0,0.0,0.0,0.0,0.0
740,2.3832039833068848,0.0,0.0,0.0,0.0,0.0
745,2.383206844329834,0.0,0.0,0.0,0.0,0.0
750,2.3832085132598877,0.0,0.0,0.0,0.0,0.0
755,2.3935394287109375,0.0,0.0,0.0,0.0,0.0
760,2.3935420513153076,0.0,0.0,0.0,0.0,0.0
765,2.3935439586639404,0.0,0.0,0.0,0.0,0.0
770,2.4037094116210938,0.0,0.0,0.0,0.0,0.0
775,2.403712034225464,0.0,0.0,0.0,0.0,0.0
780,2.4037137031555176,0.0,0.0,0.0,0.0,0.0
785,2.4037156105041504,0.0,0.0,0.0,0.0,0.0
790,2.4136719703674316,0.0,0.0,0.0,0.0,0.0
795,2.4136741161346436,0.0,0.0,0.0,0.0,0.0
800,2.4136757850646973,0.0,0.0,0.0,0.0,0.0
805,2.4253342151641846,0.0,0.0,0.0,0.0,0.0
810,2.4253365993499756,0.0,0.0,0.0,0.0,0.0
815,2.4253382682800293,0.0,0.0,0.0,0.0,0.0
820,2.4357571601867676,0.0,0.0,0.0,0.0,0.0
825,2.4357597827911377,0.0,0.0,0.0,0.0,0.0
830,2.4357616901397705,0.0,0.0,0.0,0.0,0.0
835,2.447237253189087,0.0,0.0,0.0,0.0,0.0
840,2.447239875793457,0.0,0.0,0.0,0.0,0.0
845,2.447242021560669,0.0,0.0,0.0,0.0,0.0
850,2.4575116634368896,0.0,0.0,0.0,0.0,0.0
855,2.4575142860412598,0.0,0.0,0.0,0.0,0.0
860,2.4575159549713135,0.0,0.0,0.0,0.0,0.0
865,2.457522392272949,0.0,0.0,0.0,0.0,0.0
870,2.4687271118164062,0.0,0.0,0.0,0.0,0.0
875,2.4687294960021973,0.0,0.0,0.0,0.0,0.0
880,2.46873140335083,0.0,0.0,0.0,0.0,0.0
885,2.479168176651001,0.0,0.0,0.0,0.0,0.0
890,2.479170560836792,0.0,0.0,0.0,0.0,0.0
895,2.4791722297668457,0.0,0.0,0.0,0.0,0.0
900,2.489150047302246,0.0,0.0,0.0,0.0,0.0
905,2.489152431488037,0.0,0.0,0.0,0.0,0.0
910,2.48915433883667,0.0,0.0,0.0,0.0,0.0
915,2.4990334510803223,0.0,0.0,0.0,0.0,0.0
920,2.4990360736846924,0.0,0.0,0.0,0.0,0.0
925,2.499037981033325,0.0,0.0,0.0,0.0,0.0
930,2.509122371673584,0.0,0.0,0.0,0.0,0.0
935,2.509125232696533,0.0,0.0,0.0,0.0,0.0
940,2.509127140045166,0.0,0.0,0.0,0.0,0.0
945,2.5091288089752197,0.0,0.0,0.0,0.0,0.0
950,2.5191028118133545,0.0,0.0,0.0,0.0,0.0
955,2.5191051959991455,0.0,0.0,0.0,0.0,0.0
960,2.5191071033477783,0.0,0.0,0.0,0.0,0.0
965,2.5290536880493164,0.0,0.0,0.0,0.0,0.0
970,2.5290560722351074,0.0,0.0,0.0,0.0,0.0
975,2.5290579795837402,0.0,0.0,0.0,0.0,0.0
980,2.5385842323303223,0.0,0.0,0.0,0.0,0.0
985,2.5385868549346924,0.0,0.0,0.0,0.0,0.0
990,2.538588523864746,0.0,0.0,0.0,0.0,0.0
995,2.548924446105957,0.0,0.0,0.0,0.0,0.0
1000,2.548926830291748,0.0,0.0,0.0,0.0,0.0
1005,2.5489349365234375,0.0,0.0,0.0,0.0,0.0
1010,2.5590732097625732,0.0,0.0,0.0,0.0,0.0
1015,2.5590760707855225,0.0,0.0,0.0,0.0,0.0
1020,2.559077739715576,0.0,0.0,0.0,0.0,0.0
1025,2.559079647064209,0.0,0.0,0.0,0.0,0.0
1030,2.5691847801208496,0.0,0.0,0.0,0.0,0.0
1035,2.5691869258880615,0.0,0.0,0.0,0.0,0.0
1040,2.5691888332366943,0.0,0.0,0.0,0.0,0.0
1045,2.5807366371154785,0.0,0.0,0.0,0.0,0.0
1050,2.5807390213012695,0.0,0.0,0.0,0.0,0.0
1055,2.5807409286499023,0.0,0.0,0.0,0.0,0.0
1060,2.5910391807556152,0.0,0.0,0.0,0.0,0.0
1065,2.5910415649414062,0.0,0.0,0.0,0.0,0.0
1070,2.591043472290039,0.0,0.0,0.0,0.0,0.0
1075,2.6005797386169434,0.0,0.0,0.0,0.0,0.0
1080,2.6005823612213135,0.0,0.0,0.0,0.0,0.0
1085,2.600584030151367,0.0,0.0,0.0,0.0,0.0
1090,2.6256444454193115,0.0,0.0,0.0,0.0,0.0
1095,2.6256470680236816,0.0,0.0,0.0,0.0,0.0
1100,2.6256489753723145,0.0,0.0,0.0,0.0,0.0
1105,2.6256508827209473,0.0,0.0,0.0,0.0,0.0
1110,2.636227607727051,0.0,0.0,0.0,0.0,0.0
1115,2.6362297534942627,0.0,0.0,0.0,0.0,0.0
1120,2.6362318992614746,0.0,0.0,0.0,0.0,0.0
1125,2.648115396499634,0.0,0.0,0.0,0.0,0.0
1130,2.648117780685425,0.0,0.0,0.0,0.0,0.0
1135,2.6481194496154785,0.0,0.0,0.0,0.0,0.0
1140,2.6589441299438477,0.0,0.0,0.0,0.0,0.0
1145,2.6589465141296387,0.0,0.0,0.0,0.0,0.0
1150,2.6589481830596924,0.0,0.0,0.0,0.0,0.0
1155,2.670078754425049,0.0,0.0,0.0,0.0,0.0
1160,2.67008113861084,0.0,0.0,0.0,0.0,0.0
1165,2.67008376121521,0.0,0.0,0.0,0.0,0.0
1170,2.6808488368988037,0.0,0.0,0.0,0.0,0.0
1175,2.680851697921753,0.0,0.0,0.0,0.0,0.0
1180,2.6808533668518066,0.0,0.0,0.0,0.0,0.0
1185,2.6808552742004395,0.0,0.0,0.0,0.0,0.0
1190,2.692312002182007,0.0,0.0,0.0,0.0,0.0
1195,2.692314386367798,0.0,0.0,0.0,0.0,0.0
1200,2.6923160552978516,0.0,0.0,0.0,0.0,0.0
1205,2.7044336795806885,0.0,0.0,0.0,0.0,0.0
1210,2.7044358253479004,0.0,0.0,0.0,0.0,0.0
1215,2.704437732696533,0.0,0.0,0.0,0.0,0.0
1220,2.715372323989868,0.0,0.0,0.0,0.0,0.0
1225,2.71537446975708,0.0,0.0,0.0,0.0,0.0
1230,2.715376377105713,0.0,0.0,0.0,0.0,0.0
1235,2.7260305881500244,0.0,0.0,0.0,0.0,0.0
1240,2.7260329723358154,0.0,0.0,0.0,0.0,0.0
1245,2.7260351181030273,0.0,0.0,0.0,0.0,0.0
1250,2.7376010417938232,0.0,0.0,0.0,0.0,0.0
1255,2.7376034259796143,0.0,0.0,0.0,0.0,0.0
1260,2.737605571746826,0.0,0.0,0.0,0.0,0.0
1265,2.737607002258301,0.0,0.0,0.0,0.0,0.0
1270,2.748112201690674,0.0,0.0,0.0,0.0,0.0
1275,2.748114585876465,0.0,0.0,0.0,0.0,0.0
1280,2.7481164932250977,0.0,0.0,0.0,0.0,0.0
1285,2.7584922313690186,0.0,0.0,0.0,0.0,0.0
1290,2.7584946155548096,0.0,0.0,0.0,0.0,0.0
1295,2.7584965229034424,0.0,0.0,0.0,0.0,0.0
1300,2.7682502269744873,0.0,0.0,0.0,0.0,0.0
1305,2.7682528495788574,0.0,0.0,0.0,0.0,0.0
1310,2.7682547569274902,0.0,0.0,0.0,0.0,0.0
1315,2.780728578567505,0.0,0.0,0.0,0.0,0.0
1320,2.780730962753296,0.0,0.0,0.0,0.0,0.0
1325,2.780733108520508,0.0,0.0,0.0,0.0,0.0
1330,2.791569232940674,0.0,0.0,0.0,0.0,0.0
1335,2.791571855545044,0.0,0.0,0.0,0.0,0.0
1340,2.791574001312256,0.0,0.0,0.0,0.0,0.0
1345,2.7915806770324707,0.0,0.0,0.0,0.0,0.0
1350,2.8030900955200195,0.0,0.0,0.0,0.0,0.0
1355,2.8030924797058105,0.0,0.0,0.0,0.0,0.0
1360,2.803093910217285,0.0,0.0,0.0,0.0,0.0
1365,2.8133058547973633,0.0,0.0,0.0,0.0,0.0
1370,2.813308000564575,0.0,0.0,0.0,0.0,0.0
1375,2.813309907913208,0.0,0.0,0.0,0.0,0.0
1380,2.8229432106018066,0.0,0.0,0.0,0.0,0.0
1385,2.8229453563690186,0.0,0.0,0.0,0.0,0.0
1390,2.8229475021362305,0.0,0.0,0.0,0.0,0.0
1395,2.8331716060638428,0.0,0.0,0.0,0.0,0.0
1400,2.833174228668213,0.0,0.0,0.0,0.0,0.0
1405,2.8331758975982666,0.0,0.0,0.0,0.0,0.0
1410,2.843423366546631,0.0,0.0,0.0,0.0,0.0
1415,2.843425989151001,0.0,0.0,0.0,0.0,0.0
1420,2.843428134918213,0.0,0.0,0.0,0.0,0.0
1425,2.8434295654296875,0.0,0.0,0.0,0.0,0.0
1430,2.8539862632751465,0.0,0.0,0.0,0.0,0.0
1435,2.8539886474609375,0.0,0.0,0.0,0.0,0.0
1440,2.853990316390991,0.0,0.0,0.0,0.0,0.0
1445,2.8653221130371094,0.0,0.0,0.0,0.0,0.0
1450,2.8653244972229004,0.0,0.0,0.0,0.0,0.0
1455,2.865326166152954,0.0,0.0,0.0,0.0,0.0
1460,2.875612258911133,0.0,0.0,0.0,0.0,0.0
1465,2.875614643096924,0.0,0.0,0.0,0.0,0.0
1470,2.8756167888641357,0.0,0.0,0.0,0.0,0.0
1475,2.8858418464660645,0.0,0.0,0.0,0.0,0.0
1480,2.8858442306518555,0.0,0.0,0.0,0.0,0.0
1485,2.8858461380004883,0.0,0.0,0.0,0.0,0.0
1490,2.8954179286956787,0.0,0.0,0.0,0.0,0.0
1495,2.895420789718628,0.0,0.0,0.0,0.0,0.0
1500,2.8954226970672607,0.0,0.0,0.0,0.0,0.0
1505,2.8954243659973145,0.0,0.0,0.0,0.0,0.0
1510,2.906797170639038,0.0,0.0,0.0,0.0,0.0
1515,2.906799554824829,0.0,0.0,0.0,0.0,0.0
1520,2.906801223754883,0.0,0.0,0.0,0.0,0.0
1525,2.9171321392059326,0.0,0.0,0.0,0.0,0.0
1530,2.9171345233917236,0.0,0.0,0.0,0.0,0.0
1535,2.9171361923217773,0.0,0.0,0.0,0.0,0.0
1540,2.9274446964263916,0.0,0.0,0.0,0.0,0.0
1545,2.927447557449341,0.0,0.0,0.0,0.0,0.0
1550,2.9274494647979736,0.0,0.0,0.0,0.0,0.0
1555,2.937755584716797,0.0,0.0,0.0,0.0,0.0
1560,2.937758207321167,0.0,0.0,0.0,0.0,0.0
1565,2.9377598762512207,0.0,0.0,0.0,0.0,0.0
1570,2.9480040073394775,0.0,0.0,0.0,0.0,0.0
1575,2.9480068683624268,0.0,0.0,0.0,0.0,0.0
1580,2.9480085372924805,0.0,0.0,0.0,0.0,0.0
1585,2.9480104446411133,0.0,0.0,0.0,0.0,0.0
1590,2.9583003520965576,0.0,0.0,0.0,0.0,0.0
1595,2.9583027362823486,0.0,0.0,0.0,0.0,0.0
1600,2.9583044052124023,0.0,0.0,0.0,0.0,0.0
1605,2.968579053878784,0.0,0.0,0.0,0.0,0.0
1610,2.968581199645996,0.0,0.0,0.0,0.0,0.0
1615,2.968583345413208,0.0,0.0,0.0,0.0,0.0
1620,2.979210615158081,0.0,0.0,0.0,0.0,0.0
1625,2.9792134761810303,0.0,0.0,0.0,0.0,0.0
1630,2.9792158603668213,0.0,0.0,0.0,0.0,0.0
1635,2.989208698272705,0.0,0.0,0.0,0.0,0.0
1640,2.989211320877075,0.0,0.0,0.0,0.0,0.0
1645,2.989213228225708,0.0,0.0,0.0,0.0,0.0
1650,2.9991300106048584,0.0,0.0,0.0,0.0,0.0
1655,2.9991328716278076,0.0,0.0,0.0,0.0,0.0
1660,2.9991345405578613,0.0,0.0,0.0,0.0,0.0
1665,2.999136447906494,0.0,0.0,0.0,0.0,0.0
1670,3.0123937129974365,0.0,0.0,0.0,0.0,0.0
1675,3.0123958587646484,0.0,0.0,0.0,0.0,0.0
1680,3.0123977661132812,0.0,0.0,0.0,0.0,0.0
1685,3.0237953662872314,0.0,0.0,0.0,0.0,0.0
1690,3.0237977504730225,0.0,0.0,0.0,0.0,0.0
1695,3.0237996578216553,0.0,0.0,0.0,0.0,0.0
1700,3.035452365875244,0.0,0.0,0.0,0.0,0.0
1705,3.0354549884796143,0.0,0.0,0.0,0.0,0.0
1710,3.035456657409668,0.0,0.0,0.0,0.0,0.0
1715,3.0460095405578613,0.0,0.0,0.0,0.0,0.0
1720,3.0460119247436523,0.0,0.0,0.0,0.0,0.0
1725,3.046013832092285,0.0,0.0,0.0,0.0,0.0
1730,3.0560214519500732,0.0,0.0,0.0,0.0,0.0
1735,3.0560240745544434,0.0,0.0,0.0,0.0,0.0
1740,3.056025981903076,0.0,0.0,0.0,0.0,0.0
1745,3.056027889251709,0.0,0.0,0.0,0.0,0.0
1750,3.066521644592285,0.0,0.0,0.0,0.0,0.0
1755,3.066523790359497,0.0,0.0,0.0,0.0,0.0
1760,3.06652569770813,0.0,0.0,0.0,0.0,0.0
1765,3.0771663188934326,0.0,0.0,0.0,0.0,0.0
1770,3.0771684646606445,0.0,0.0,0.0,0.0,0.0
1775,3.0771706104278564,0.0,0.0,0.0,0.0,0.0
1780,3.088592290878296,0.0,0.0,0.0,0.0,0.0
1785,3.088594913482666,0.0,0.0,0.0,0.0,0.0
1790,3.0885965824127197,0.0,0.0,0.0,0.0,0.0
1795,3.0990684032440186,0.0,0.0,0.0,0.0,0.0
1800,3.0990707874298096,0.0,0.0,0.0,0.0,0.0
1805,3.0990729331970215,0.0,0.0,0.0,0.0,0.0
1810,3.1092207431793213,0.0,0.0,0.0,0.0,0.0
1815,3.1092233657836914,0.0,0.0,0.0,0.0,0.0
1820,3.109225034713745,0.0,0.0,0.0,0.0,0.0
1825,3.109226942062378,0.0,0.0,0.0,0.0,0.0
1830,3.120725631713867,0.0,0.0,0.0,0.0,0.0
1835,3.1207282543182373,0.0,0.0,0.0,0.0,0.0
1840,3.120729684829712,0.0,0.0,0.0,0.0,0.0
1845,3.1313376426696777,0.0,0.0,0.0,0.0,0.0
1850,3.131340265274048,0.0,0.0,0.0,0.0,0.0
1855,3.1313419342041016,0.0,0.0,0.0,0.0,0.0
1860,3.14198899269104,0.0,0.0,0.0,0.0,0.0
1865,3.14199161529541,0.0,0.0,0.0,0.0,0.0
1870,3.141993284225464,0.0,0.0,0.0,0.0,0.0
1875,3.1518776416778564,0.0,0.0,0.0,0.0,0.0
1880,3.1518800258636475,0.0,0.0,0.0,0.0,0.0
1885,3.1518819332122803,0.0,0.0,0.0,0.0,0.0
1890,3.162531614303589,0.0,0.0,0.0,0.0,0.0
1895,3.162534236907959,0.0,0.0,0.0,0.0,0.0
1900,3.162536144256592,0.0,0.0,0.0,0.0,0.0
1905,3.1625375747680664,0.0,0.0,0.0,0.0,0.0
1910,3.1731762886047363,0.0,0.0,0.0,0.0,0.0
1915,3.1731784343719482,0.0,0.0,0.0,0.0,0.0
1920,3.173180341720581,0.0,0.0,0.0,0.0,0.0
1925,3.183814287185669,0.0,0.0,0.0,0.0,0.0
1930,3.18381667137146,0.0,0.0,0.0,0.0,0.0
1935,3.1838183403015137,0.0,0.0,0.0,0.0,0.0
1940,3.1936299800872803,0.0,0.0,0.0,0.0,0.0
1945,3.1936323642730713,0.0,0.0,0.0,0.0,0.0
1950,3.193634271621704,0.0,0.0,0.0,0.0,0.0
1955,3.204061269760132,0.0,0.0,0.0,0.0,0.0
1960,3.204063892364502,0.0,0.0,0.0,0.0,0.0
1965,3.2040657997131348,0.0,0.0,0.0,0.0,0.0
1970,3.214245557785034,0.0,0.0,0.0,0.0,0.0
1975,3.2142481803894043,0.0,0.0,0.0,0.0,0.0
1980,3.214249849319458,0.0,0.0,0.0,0.0,0.0
1985,3.214251756668091,0.0,0.0,0.0,0.0,0.0
1990,3.224278211593628,0.0,0.0,0.0,0.0,0.0
1995,3.224280595779419,0.0,0.0,0.0,0.0,0.0
2000,3.2242822647094727,0.0,0.0,0.0,0.0,0.0
2005,3.2349750995635986,0.0,0.0,0.0,0.0,0.0
2010,3.2349777221679688,0.0,0.0,0.0,0.0,0.0
2015,3.2349796295166016,0.0,0.0,0.0,0.0,0.0
2020,3.2454044818878174,0.0,0.0,0.0,0.0,0.0
2025,3.2454071044921875,0.0,0.0,0.0,0.0,0.0
2030,3.2454090118408203,0.0,0.0,0.0,0.0,0.0
2035,3.255930185317993,0.0,0.0,0.0,0.0,0.0
2040,3.2559328079223633,0.0,0.0,0.0,0.0,0.0
2045,3.255934715270996,0.0,0.0,0.0,0.0,0.0
2050,3.266369581222534,0.0,0.0,0.0,0.0,0.0
2055,3.266371965408325,0.0,0.0,0.0,0.0,0.0
2060,3.266374111175537,0.0,0.0,0.0,0.0,0.0
2065,3.2663755416870117,0.0,0.0,0.0,0.0,0.0
2070,3.2770495414733887,0.0,0.0,0.0,0.0,0.0
2075,3.2770519256591797,0.0,0.0,0.0,0.0,0.0
2080,3.2770535945892334,0.0,0.0,0.0,0.0,0.0
2085,3.2872731685638428,0.0,0.0,0.0,0.0,0.0
2090,3.287275552749634,0.0,0.0,0.0,0.0,0.0
2095,3.2872772216796875,0.0,0.0,0.0,0.0,0.0
2100,3.2977585792541504,0.0,0.0,0.0,0.0,0.0
2105,3.2977612018585205,0.0,0.0,0.0,0.0,0.0
2110,3.2977631092071533,0.0,0.0,0.0,0.0,0.0
2115,3.3079934120178223,0.0,0.0,0.0,0.0,0.0
2120,3.3079960346221924,0.0,0.0,0.0,0.0,0.0
2125,3.307997941970825,0.0,0.0,0.0,0.0,0.0
2130,3.318387269973755,0.0,0.0,0.0,0.0,0.0
2135,3.318389892578125,0.0,0.0,0.0,0.0,0.0
2140,3.318392038345337,0.0,0.0,0.0,0.0,0.0
2145,3.3183934688568115,0.0,0.0,0.0,0.0,0.0
2150,3.3282947540283203,0.0,0.0,0.0,0.0,0.0
2155,3.3282971382141113,0.0,0.0,0.0,0.0,0.0
2160,3.328299045562744,0.0,0.0,0.0,0.0,0.0
2165,3.338108777999878,0.0,0.0,0.0,0.0,0.0
2170,3.33811092376709,0.0,0.0,0.0,0.0,0.0
2175,3.3381125926971436,0.0,0.0,0.0,0.0,0.0
2180,3.3478527069091797,0.0,0.0,0.0,0.0,0.0
2185,3.3478550910949707,0.0,0.0,0.0,0.0,0.0
2190,3.3478708267211914,0.0,0.0,0.0,0.0,0.0
2195,3.3587558269500732,0.0,0.0,0.0,0.0,0.0
2200,3.358757972717285,0.0,0.0,0.0,0.0,0.0
2205,3.358759880065918,0.0,0.0,0.0,0.0,0.0
2210,3.369276762008667,0.0,0.0,0.0,0.0,0.0
2215,3.369279384613037,0.0,0.0,0.0,0.0,0.0
2220,3.36928129196167,0.0,0.0,0.0,0.0,0.0
2225,3.3692829608917236,0.0,0.0,0.0,0.0,0.0
2230,3.3792521953582764,0.0,0.0,0.0,0.0,0.0
2235,3.3792543411254883,0.0,0.0,0.0,0.0,0.0
